VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ID	DEDUP_SUFFIX	COMPOSITE_ID
080	000100	2022012	1000010151	00276766	45244782	Česká spořitelna, a.s.	Ú	Zateplení OÚ Jarošov	CZK	1,4	20150130	20300131	bez ručení	2500000.00 	2500000.00 	1271688.00 	257891.93 	00276766-45244782-20150130-20300131-2500000		00276766-45244782-20150130-20300131-2500000
080	000100	2022012	1000010152	00276588	45317054	Komerční banka, a.s.	Ú	Refinancování úvěru poskytnutého ČS a.s. na výstavbu bytového domu č.p. 195 Dlouhá Loučka	CZK	0,96	20150528	20301231	Zástavní právo k nemovitosti	4230000.00 	4229336.40 	2023120.00 	422170.30 	00276588-45317054-20150528-20301231-4230000		00276588-45317054-20150528-20301231-4230000
080	000100	2022012	1000010156	00038130	45317054	Komerční banka, a.s.	Ú	"Spolufinancování projektu ""Kanalizace a ČOV Sloupnice II. etapa"""	CZK	1,39	20160527	20240430	bez ručení	15000000.00 	15000000.00 	11571660.00 	247932.78 	00038130-45317054-20160527-20240430-15000000		00038130-45317054-20160527-20240430-15000000
080	000100	2022012	1000010156	00038130	00020729	Státní fond životního prostředí České republiky	Ú	"Spolufinancování projektu ""Sloupnice a ČOV I. etapa"""	CZK	1,00	20121109	20240331	zástavní právo k nemovitosti	6053578.25 	5451289.91 	4842880.00 	150009.48 	00038130-00020729-20121109-20240331-6053578		00038130-00020729-20121109-20240331-6053578
080	000100	2022012	1000010157	00279277	45317054	Komerční banka, a.s.	Ú	B.j 12PB - KODUS Zhoř	CZK	0.69	20160622	20331231	nesjednáno	7437500.00 	7437500.00 	2324400.00 	340443.15 	00279277-45317054-20160622-20331231-7437500		00279277-45317054-20160622-20331231-7437500
080	000100	2022012	1000010157	00279277	45317054	Komerční banka, a.s.	Ú	chodník kolem silnice II/358 Zhoř	CZK	0.72	20151014	20220930	nesjednáno	3405000.00 	3405000.00 	3405000.00 	58957.12 	00279277-45317054-20151014-20220930-3405000		00279277-45317054-20151014-20220930-3405000
080	000100	2022012	1000010162	00194646	63998980	ČSOB Leasing, a.s.	Ú	Traktor Zetor MAJOR	CZK	8,3961	20220921	20230121	bez ručení	863093.00 	863093.00 	35121.50 	20922.32 	00194646-63998980-20220921-20230121-863093		00194646-63998980-20220921-20230121-863093
080	000100	2022012	1000010177	70892261	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce multifunkční sportovní a herní plochy	CZK	2,81	20190624	20221231	bez ručení	3000000.00 	3000000.00 	3000000.00 	171896.94 	70892261-45244782-20190624-20221231-3000000		70892261-45244782-20190624-20221231-3000000
080	000100	2022012	1000010180	75115662	45244782	Česká spořitelna, a.s.	Ú	Pokladnice zážitků - příběhy tajemství a společné historie	CZK	1,85	20191011	20241231	bez zajištění	6200000.00 	3779687.95 	1000000.00 	70792.61 	75115662-45244782-20191011-20241231-6200000		75115662-45244782-20191011-20241231-6200000
080	000100	2022012	1000010182	00276944	45244782	Česká spořitelna, a.s.	Ú	Bytový dům u nemocnice	CZK	2,21	20130219	20221231	bez ručení	10000000.00 	10000000.00 	10000000.00 	15819.70 	00276944-45244782-20130219-20221231-10000000		00276944-45244782-20130219-20221231-10000000
