VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
80	100	2022012	1000016077	298654	25083325	Sberbank CZ, a.s. v likvidaci	Ú	investiční úvěr-BĚLKOVICE-LAŠŤANY splašková kanalizace , V.etapa	CZK	6M PRIBOR + přirážka 0,45%p.a.	20120426	20331231	bez ručení	9000000	9000000	4012500	293762.77	Sberbank CZ, a.s. v likvidaci	121	Akciová společnost	Akciová společnost	a.s.	2022	00298654-25083325-20120426-20331231-9000000	a3667e91-8eb55e42	00298654-25083325-20120426-20331231-9000000-a3667e91-8eb55e42-2022	DEDUP_POPULATED
80	100	2022012	1000016077	298654	25083325	Sberbank CZ, a.s. v likvidaci	Ú	investiční úvěr-VODOVOD Bělkovice-Lašťany	CZK	6M PRIBOR + přirážka 0,45% p.a.	20120426	20331231	bez ručení	9000000	9000000	4012500	293762.77	Sberbank CZ, a.s. v likvidaci	121	Akciová společnost	Akciová společnost	a.s.	2022	00298654-25083325-20120426-20331231-9000000	a3667e91-82816bbe	00298654-25083325-20120426-20331231-9000000-a3667e91-82816bbe-2022	DEDUP_POPULATED
80	100	2022012	1000005852	259586	111	Bez úvěru	Ú	Bez úvěru	CZK	0	20221231	20221231	Není	0	0	0	0	Not Found					2022	00259586-00000111-20221231-20221231-0		00259586-00000111-20221231-20221231-0-2022	ZERO_LOAN
80	100	2022012	1000015152	297046	111	Fyzická osoba	NFV	Nemáme	CZK	0	20230214	20230214	Nemáme	0	0	0	0	Not Found					2022	00297046-00000111-20230214-20230214-0	b0a0b448-ade922d4	00297046-00000111-20230214-20230214-0-b0a0b448-ade922d4-2022	ZERO_LOAN
80	100	2022012	1000015152	297046	111	Fyzická osoba	Z	Nemáme	CZK	0	20230214	20230214	Nemáme	0	0	0	0	Not Found					2022	00297046-00000111-20230214-20230214-0	b0a0b448-ade922d4	00297046-00000111-20230214-20230214-0-b0a0b448-ade922d4-2022	ZERO_LOAN
80	100	2022012	1000015180	577031	111	Fyzická osoba	NFV	Žádný úvěr	CZK	0	20230214	20230214	nemáme	0	0	0	0	Not Found					2022	00577031-00000111-20230214-20230214-0		00577031-00000111-20230214-20230214-0-2022	ZERO_LOAN
80	100	2022012	1000015309	296635	296635	Obec Fryčovice	NFV	NIC	CZK	0	20230131	20230131	NEMÁME	0	0	0	0	Obec Fryčovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec	2022	00296635-00296635-20230131-20230131-0	8be47854-e821ba1e	00296635-00296635-20230131-20230131-0-8be47854-e821ba1e-2022	ZERO_LOAN
80	100	2022012	1000015309	296635	296635	Obec Fryčovice	Z	nic	CZK	0	20230131	20230131	NEMÁME	0	0	0	0	Obec Fryčovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec	2022	00296635-00296635-20230131-20230131-0	8be47854-e821ba1e	00296635-00296635-20230131-20230131-0-8be47854-e821ba1e-2022	ZERO_LOAN
80	100	2022012	1000015345	69609926	0		NFV	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	69609926-00000000-20221231-20221231-0	a3d2de76-cfcd2084	69609926-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015345	69609926	0		Z	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	69609926-00000000-20221231-20221231-0	a3d2de76-cfcd2084	69609926-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
