VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
80	100	2024012	1000005033	256374	45317054	Komerční banka, a.s.	Ú	financování ČOV Žichovice	CZK	4,20% p.a.	20220722	20470430	1	0	0	0	442854.2	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00256374-45317054-20220722-20470430-0		00256374-45317054-20220722-20470430-0-2024	ZERO_LOAN
80	100	2024012	1000005737	258806	45317054	Komerční banka, a.s.	Ú	kontokorent	CZK	5	20200101	20241231	10	0	0	0	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00258806-45317054-20200101-20241231-0		00258806-45317054-20200101-20241231-0-2024	ZERO_LOAN
80	100	2024012	1000005852	259586	259586	Město Sokolov	Ú	Bez úvěru	CZK	0	20241231	20241231	1	0	0	0	0	Město Sokolov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec	2024	00259586-00259586-20241231-20241231-0		00259586-00259586-20241231-20241231-0-2024	ZERO_LOAN
80	100	2024012	1000015152	297046	111	Fyzická osoba	NFV	nemáme	CZK	0	20240129	20240214	1	0	0	0	0	Not Found					2024	00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4	00297046-00000111-20240129-20240214-0-b0a0b448-ade922d4-2024	ZERO_LOAN
80	100	2024012	1000015152	297046	111	Fyzická osoba	Z	nemáme	CZK	0	20240129	20240214	1	0	0	0	0	Not Found					2024	00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4	00297046-00000111-20240129-20240214-0-b0a0b448-ade922d4-2024	ZERO_LOAN
80	100	2024012	1000015345	69609926	0		NFV	0	CZK	0	20241231	20241231	1	0	0	0	0	Invalid ICO					2024	69609926-00000000-20241231-20241231-0	a3d2de76-cfcd2084	69609926-00000000-20241231-20241231-0-a3d2de76-cfcd2084-2024	ZERO_LOAN
80	100	2024012	1000015345	69609926	0		Z	0	CZK	0	20241231	20241231	1	0	0	0	0	Invalid ICO					2024	69609926-00000000-20241231-20241231-0	a3d2de76-cfcd2084	69609926-00000000-20241231-20241231-0-a3d2de76-cfcd2084-2024	ZERO_LOAN
80	100	2024012	1000015345	69609926	0		Ú	0	CZK	0	20241231	20241231	1	0	0	0	0	Invalid ICO					2024	69609926-00000000-20241231-20241231-0	a3d2de76-cfcd2084	69609926-00000000-20241231-20241231-0-a3d2de76-cfcd2084-2024	ZERO_LOAN
80	100	2024012	1000015420	297585	0		NFV	0	CZK	0	20241231	20241231	1	0	0	0	0	Invalid ICO					2024	00297585-00000000-20241231-20241231-0	a3d2de76-cfcd2084	00297585-00000000-20241231-20241231-0-a3d2de76-cfcd2084-2024	ZERO_LOAN
80	100	2024012	1000015420	297585	0		Z	0	CZK	0	20241231	20241231	1	0	0	0	0	Invalid ICO					2024	00297585-00000000-20241231-20241231-0	a3d2de76-cfcd2084	00297585-00000000-20241231-20241231-0-a3d2de76-cfcd2084-2024	ZERO_LOAN
80	100	2024012	1000015435	297658	70890692	Moravskoslezský kraj	Ú	Finanční investiční akce	CZK	0	20201115	20410930	1	0	0	0	0	Moravskoslezský kraj	804	Kraj a hl.m.Praha	Kraj	kraj	2024	00297658-70890692-20201115-20410930-0		00297658-70890692-20201115-20410930-0-2024	ZERO_LOAN
80	100	2024012	1000015435	297658	0		NFV	0	CZK	0	20231231	20231231	1	0	0	0	0	Invalid ICO					2024	00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084	00297658-00000000-20231231-20231231-0-a3d2de76-cfcd2084-2024	ZERO_LOAN
80	100	2024012	1000015435	297658	0		Z	0	CZK	0	20231231	20231231	1	0	0	0	0	Invalid ICO					2024	00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084	00297658-00000000-20231231-20231231-0-a3d2de76-cfcd2084-2024	ZERO_LOAN
80	100	2024012	1000017249	304280	25672720	MONETA Money Bank, a.s.	Ú	revolvingový úvěr	CZK	2,19	20220412	20260219	3	0	0	0	0	MONETA Money Bank, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00304280-25672720-20220412-20260219-0		00304280-25672720-20220412-20260219-0-2024	ZERO_LOAN
ZZZ		0		0							0	0		0	0	0	5236						2024	00000000-00000000-0-0-0		00000000-00000000-0-0-0-2024	ZERO_LOAN
80	100	2024012	1000008001	579874	45317054	Komerční banka, a.s.	Ú	Splašková kanalizace a  ČOV Knyk	CZK	2,39	20210610	20280531	1	5000000	5000000	1746030	295103.92	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00579874-45317054-20210610-20280531-5000000		00579874-45317054-20210610-20280531-5000000-2024	CROSS_REMOVED
80	100	2024012	1000011445	281883	45317054	Komerční banka, a.s.	Ú	koupě nemovitosti	CZK	2,69	20210920	20340630	1	7750000	7750000	7750000	502810.37	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00281883-45317054-20210920-20340630-7750000		00281883-45317054-20210920-20340630-7750000-2024	CROSS_REMOVED
