"""""""Výkaz""""""ZC_VYKAZ:ZC_VYKAZ";"""""""Tabulka výkazu""""""ZC_VTAB:ZC_VTAB";"""""""Fiskální období""""""0FISCPER:0FISCPER";"""""""Účetní jednotka""""""ZC_UCJED:ZC_UCJED";"""""""IČO""""""ZC_ICO:ZC_ICO";"""""""IČO poskytovatele""""""/BIC/ZC_PARTP:ZC_PARTP";"""""""Název poskytovatele""""""/BIC/ZC_NAZPOS:ZC_NAZPOS";"""""""Určení""""""/BIC/ZC_URCN:ZC_URCN";"""""""Účel""""""/BIC/ZC_UCFP:ZC_UCFP";"""""""Kód měny""""""CURRENCY:0CURRENCY";"""""""Úroková sazba v %""""""/BIC/ZC_URSA:ZC_URSA";"""""""Okamžik uzavření smlouvy""""""/BIC/ZC_DATUS:ZC_DATUS";"""""""Termín splatnosti""""""/BIC/ZC_TERSPL:ZC_TERSPL";"""""""Způsob ručení""""""/BIC/ZC_ZPRUC:ZC_ZPRUC";"""""""Sjednaná výše U/Z/NFV""""""KYF_0002:ZU_VYUV";"""""""Čerpaná výše U/Z/NVF""""""KYF_0004:ZU_CEUV";"""""""Splacená výše jistiny U/Z/NFV""""""KYF_0006:ZU_SPJUV";"""""""Výše zaplacených úroků a poplatků""""""KYF_0008:ZU_ZAPUP"
080;000100;2024012;1000000405;00875813;00001350;Československá obchodní banka, a. s.;Ú;Stavební úpravy škola;CZK;1M pribor + marže;20210202;20360224;01;2115675.00 ;2115675.00 ;298800.00 ;338581.40 
080;000100;2024012;1000000405;00875813;00001350;Československá obchodní banka, a. s.;Ú;Více účelové hřiště;CZK;1M pribor +  marže;20220804;20370825;01;2070901.00 ;2070900.75 ;312390.00 ;322848.86 
080;000100;2024012;1000000405;00875813;00001350;Československá obchodní banka, a. s.;Ú;Zastavení na Umrlčí cestě;CZK;1M pribor + marže;20210225;20061229;01;517124.00 ;517124.00 ;309600.00 ;85292.32 
080;000100;2024012;1000000424;00232009;45244782;Česká spořitelna, a.s.;Ú;Splašková kanalizace a ČOV;CZK;3,48;20240201;20431220;01;30000000.00 ;21943938.47 ;0.00 ;363305.26 
080;000100;2024012;1000000428;00240664;45244782;Česká spořitelna, a.s.;Ú;intentzifikace ČOV;CZK;3,15;20211203;20410820;01;15000000.00 ;14829808.16 ;1608000.00 ;879598.00 
080;000100;2024012;1000000428;00240664;45244782;Česká spořitelna, a.s.;Ú;konsolidace dluhů 2012;CZK;2,67;20121220;20320920;03;19950000.00 ;19948590.00 ;12136590.00 ;3216078.00 
080;000100;2024012;1000000428;00240664;45244782;Česká spořitelna, a.s.;Ú;kontokorent;CZK;7,91;20191218;20240430;01;3000000.00 ;0.00 ;0.00 ;0.00 
080;000100;2024012;1000000428;00240664;45244782;Česká spořitelna, a.s.;Ú;přístavba ZŠ;CZK;2,23;20161107;20310820;01;16400000.00 ;16400000.00 ;8400000.00 ;1708521.00 
080;000100;2024012;1000000428;00240664;45244782;Česká spořitelna, a.s.;Ú;rekonstrukce MŠ;CZK;2,33;20201208;20261220;01;47000000.00 ;47000000.00 ;45680000.00 ;744544.00 
080;000100;2024012;1000000428;00240664;45244782;Česká spořitelna, a.s.;Ú;rekonstrukce komunikací;CZK;2,26;20150630;20261020;03;9500000.00 ;8954460.00 ;7436460.00 ;758030.00 
080;000100;2024012;1000000435;00232874;45244782;Česká spořitelna, a.s.;Ú;Nástavba společenského domu Dubějovice;CZK;2;20200304;20291220;01;6000000.00 ;6000000.00 ;2688000.00 ;75500.43 
080;000100;2024012;1000000435;00232874;45244782;Česká spořitelna, a.s.;Ú;Trhový Štěpánov - Cisternová automobilová stříkačka;CZK;4,92;20220723;20280820;01;5089790.00 ;5089790.00 ;1085790.00 ;229272.36 
080;000100;2024012;1000000435;00232874;45244782;Česká spořitelna, a.s.;Ú;Výstavba vodovodního přivaděče TŠ-Dalkovice-Střechov a vodovodu Střechov;CZK;4,02;20220421;20311220;01;9200000.00 ;9200000.00 ;2040000.00 ;441410.04 
