VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
080	000100	2021012	1000014579	00295451	45244782	Česká spořitelna, a.s.	Ú	Financování projektu Rekonstrukce vodovodu, kanalizace a elektroinstalace ZŠ a MŠ Sněžné	CZK	20200723	20271231	nebude zajištěn žádnými zajišťovacími prostředky	6880004.34 	6880004.34 	2633741.00 	38578.20 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014579	00295451	45244782	Česká spořitelna, a.s.	Ú	Sběrný svůr, Vodní zdroje Sněžné, Přír. hřiště Sněžné, 3 malometr. byty, 5 TI, Rekonstr. kanal. a č	CZK	20140307	20220331	nebude zajištěn žádnými zajišťovacími prostředky	4881000.00 	4881000.00 	4702475.00 	11571.70 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014579	00295451	45317054	Komerční banka, a.s.	Ú	Přestavba a dostavba souboru staveb Brownfieldu Sněžné p.č. 74, 75/1 k.ú. Sněžné	CZK	20200630	20320630	zajištění bankosměnkou reg. č. 10000774569	7637558.00 	7637558.00 	0.00 	18721.14 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014579	00295451	00001350	Československá obchodní banka, a. s.	Ú	Rekonstrukce kanalizace a ČOV, nákup emovistosti č.p. 69 a zateplení hasičské zbrojnice	CZK	20130613	20230522	peněžní prostředky do výše úvěrového limitu budou poskytnuty bez zajištění	7200000.00 	7200000.00 	6001086.41 	36688.47 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014579	00295451	49241494	Podpůrný a garanční rolnický a lesnický fond, a.s.	Ú	Nový traktorový nosič kontejnerů a vanové kontejnery	CZK	20210421	20211130	traktorový nosič kontejnerů a vanové kontejnery	647450.00 	647450.00 	323725.00 	0.00 	Podpůrný a garanční rolnický a lesnický fond, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014580	00295493	45317054	Komerční banka, a.s.	Ú	Kanalizace a ČOV	CZK	20140519	20251225	bez ručení	6600000.00 	6600000.00 	3960000.00 	59879.00 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014580	00295493	49241494	Podpůrný a garanční rolnický a lesnický fond, a.s.	Ú	Lesnictví	CZK	20210602	20220920	zástavní smlouva k pohledávkám	985250.00 	985250.00 	0.00 	0.00 	Podpůrný a garanční rolnický a lesnický fond, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014581	00295531	45244782	Česká spořitelna, a.s.	Ú	Inženýrské sítě	CZK	20160427	20310430	bez ručení	8000000.00 	8000000.00 	2790720.00 	273262.80 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014581	00295531	45244782	Česká spořitelna, a.s.	Ú	Kanalizace II. etapa	CZK	20130311	20281231	bez ručení	30000000.00 	29999900.79 	16000000.00 	2758460.80 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014582	00295558	00020729	Státní fond životního prostředí České republiky	Z	Snížení energetické náročnosti KD	CZK	20180921	20291231	bez ručení	2870640.78 	2870640.78 	574128.16 	20345.66 	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
