ID	DEDUP_SUFFIX	DATAYEAR_MERGED	LOAN_AMOUNT	CERPANA_VYSE_2022	CERPANA_VYSE_2023	CERPANA_VYSE_2024	rate_2022	rate_2023	rate_2024	FIXED_OR_VARIABLE	FIXED_NOSTRING_OR_VARIABLE_STRING	ucel_2022	ucel_2023	ucel_2024
00232220-65006658-20170822-20221010-1682750		2022	1682750	1682750.00 			2,5			FIXED	FIXED_NOSTRING	Úhrada dodavatelské kupní ceny předmětu financování		
00232360-45244782-20170518-20320920-40000000		2022 + 2023 + 2024	40000000	36650465.45 	36650465.45 	36650465.45 	2,1	2,1	2,1	FIXED	FIXED_NOSTRING	Výstavba ČOV a kanalizace Netvořice	výstavba ČOV a kanalizace Netvořice	výstavba ČOV a kanalizace Netvořice
00232416-25672720-20200506-20241220-5000000		2022 + 2023 + 2024	5000000	4000000.00 	4000000.00 	4000000.00 	2 % p.a.	2 % p.a.	2 % p.a.	FIXED	FIXED_NOSTRING	Financování investice do technického zhodnocení zázemí SK Olbramovice	Financování investice do technického zhodnocení zázemí SK Olbramovice	Financování investice do technického zhodnocení zázemí SK Olbramovice
00232416-45317054-20240425-20290430-4200000		2024	4200000			4200000.00 			4,19 % p.a.	FIXED	FIXED_NOSTRING			Koupě nemovitosti
00232424-45244782-20191104-20381220-17000000		2022 + 2023 + 2024	17000000	17000000.00 	17000000.00 	17000000.00 	1,85	1,85	1,85	FIXED	FIXED_NOSTRING	Skupinový vodovod	Skupinový vodovod	Skupinový vodovod
00232475-00232475-20200312-20401231-6872000		2022	6872000	6613221.62 			0,39			FIXED	FIXED_NOSTRING	revitalizace rybníka		
00232475-45317054-20200312-20401231-6872000		2023 + 2024	6872000		6613221.62 	6613221.62 		0,39	0,39	FIXED	FIXED_NOSTRING		Revitalizace rybníka	Revitalizace rybníka
00232513-45244782-20070130-20240820-30000000		2022 + 2023	30000000	20459204.90 	20459204.90 		PRIBOR 6M+0,17% p.a.	PRIBOR 6M+0,17% p.a.		FIXED	VARIABLE_STRING	Rekonstrukce a přístavba tělocvičny ZŠ Poříčí nad Sázavou	Rekonstrukce a přístavba tělocvičny ZŠ Poříčí nad Sázavou	
00232513-45317054-20210125-20401231-40000000		2022 + 2023 + 2024	40000000	38769749.00 	38769749.00 	38769749.00 	3M PRIBOR+0,26%	3M PRIBOR+ 0,26 %	3M PRIBOR+0,26%	VARIABLE	VARIABLE_STRING	"Financování projektu "" Stavební úprava a změny užívání objektu čp. 4 v Poříčí nad Sázavou"" na bytový"	"Financování projektu ""Stavební úprava a změna užívání objektu čp. 4 v Poříčí nad Sázavou"" na bytový"	"Financování projektu ""Stavební úprava a změna užívání objektu čp. 4 v Poříčí nad Sázavou"" na bytový"
00232548-45244782-20230628-20421220-20000000		2023 + 2024	20000000		0.00 	10828762.78 		4,41	4,41	FIXED	FIXED_NOSTRING		financování Kanalizace v obci Pravonín	financování Kanalizace v obci Pravonín
00232599-45317054-20200629-20291231-3359000		2022 + 2023 + 2024	3359000	3359000.00 	3359000.00 	3359000.00 	0,59	0,59	0,59	FIXED	FIXED_NOSTRING	Dostavba splaškové kanalizace Nedvězí	Dostavba splaškové kanalizace Nedvězí	Dostavba splaškové kanalizace Nedvězí
00232645-45244782-20191202-20250520-22000000		2024	22000000			20814872.63 			1,77	FIXED	FIXED_NOSTRING			financování rekonstrukce domu čp.89 v Sedlci
00232645-45244782-20191202-20291220-22000000		2022 + 2023	22000000	20814872.63 	20814872.63 		1,77	1,77		FIXED	FIXED_NOSTRING	financování rekonstrukce domu čp.89 v Sedlci	financování rekonstrukce domu čp.89 v Sedlci	
00232645-45244782-20211216-20361120-35000000		2022 + 2023 + 2024	35000000	13133123.51 	33977513.31 	33977513.31 	3,08	3,08	3,08	FIXED	FIXED_NOSTRING	financování rekonstrukce náměstí 7.května v Sedlci	financování rekonstrukce náměstí v Sedlci	financování rekonstrukce náměstí v Sedlci
00232700-45244782-20231019-20431020-4998736		2023 + 2024	4998736		4998736.00 	4998736.00 		5,09	5,09	FIXED	FIXED_NOSTRING		Financování koupě nemovitostí	Financování koupě nemovitostí
00232751-45244782-20191111-20331220-23000000		2022 + 2023 + 2024	23000000	23000000.00 	23000000.00 	23000000.00 	1,77	1.77	1,77	FIXED	FIXED_NOSTRING	Financování podílu na realizaci Projektu Přivaděč Želivka	Financování podílu přivaděč Želivka	Financování podílu výstavby přivaděče
00232777-45244782-20181218-20221220-1500000		2022	1500000	1500000.00 			2,62			FIXED	FIXED_NOSTRING	nákup nemovitosti		
00232777-45244782-20231127-20331020-4110000		2023 + 2024	4110000		0.00 	4110000.00 		4,86	4,86	FIXED	FIXED_NOSTRING		nákup nemovitosi	nákup nemovitosti
00232823-45244782-20191105-20381220-30000000		2022 + 2023 + 2024	30000000	30000000.00 	30000000.00 	30000000.00 	1,8	1,8	1,8	FIXED	FIXED_NOSTRING	skupinový vodovod Chopos	skupinový vodovod Chopos	Skupinový vodovod Chopos
00232874-45244782-20180606-20231220-7000000		2022	7000000	7000000.00 			3,64			FIXED	FIXED_NOSTRING	Klubové zázemí FK Trhový Štěpánov		
00232874-45244782-20190220-20230620-22000000		2022	22000000	21712346.11 			1,41			FIXED	FIXED_NOSTRING	Zlepšení zázemí pro vzdělávání Základní školy Trhový Štěpánov		
00232874-45244782-20191127-20241220-6800000		2022	6800000	5738066.86 			2,15			FIXED	FIXED_NOSTRING	Rozšíření kapacity Mateřské školy Trhový Štěpánov		
00232874-45244782-20200304-20291220-6000000		2022 + 2023 + 2024	6000000	6000000.00 	6000000.00 	6000000.00 	2	2	2	FIXED	FIXED_NOSTRING	Nástavba společenského domu Dubějovice	Nástavba společenského domu Dubějovice	Nástavba společenského domu Dubějovice
00232874-45244782-20220421-20311220-9200000		2022 + 2023 + 2024	9200000	8545036.00 	9200000.00 	9200000.00 	7,49	7,02	4,02	VARIABLE	FIXED_NOSTRING	Výstavba vodovodního přivaděče TŠ-Dalkovice-Střechov a vodovodu Střechov	Výstavba vodovodního přivaděče TŠ-Dalkovice-Střechov a vodovodu Střechov	Výstavba vodovodního přivaděče TŠ-Dalkovice-Střechov a vodovodu Střechov
00232874-45244782-20220723-20280820-5089790		2023 + 2024	5089790		5089790.00 	5089790.00 		4,92	4,92	FIXED	FIXED_NOSTRING		- Trhový Štěpánov - Cisternová automobilová stříkačka	Trhový Štěpánov - Cisternová automobilová stříkačka
00232874-45244782-20220919-20280820-5089790		2022	5089790	0.00 			4,92			FIXED	FIXED_NOSTRING	FZŠ - Trhový Štěpánov - Cisternová automobilová stříkačka		
00232904-45244782-20080627-20280520-30000000		2022 + 2023	30000000	30000000.00 	30000000.00 		8,31	8,31		FIXED	FIXED_NOSTRING	Odkanalizování místních částí	Odkanalizování místních částí	
00232904-45244782-20170704-20250520-31000000		2022 + 2023	31000000	31000000.00 	31000000.00 		7,37	7,37		FIXED	FIXED_NOSTRING	Přístavba ZŠ, Stavba tělocvičny při ZŠ, Zateplení Městského úřadu v Týnci nad Sázavou	Přístavba ZŠ, Stavba tělocvičny při ZŠ, Zateplení Městského úřadu v Týnci nad Sázavou	
00232904-45244782-20210416-20401220-40000000		2022 + 2023 + 2024	40000000	40000000.00 	40000000.00 	40000000.00 	5,96	7,4	7,4	VARIABLE	FIXED_NOSTRING	Financování koupě nemovitosti	Financování koupě nemovitosti	Financování koupě nemovitostí
00232904-45244782-20220622-20411120-130000000		2022	130000000	0.00 			6,96			FIXED	FIXED_NOSTRING	Intenzifikace ČOV Týnec nad Sázavou		
00232904-45244782-20230621-20421220-95000000		2023 + 2024	95000000		12217136.76 	85302497.43 		4,78	4,78	FIXED	FIXED_NOSTRING		Intenzifikace ČOV Týnec nad Sázavou	Intenzifikace ČOV
00232947-00001350-20120430-20270621-42870623		2022	42870623	42870623.30 			6,23			FIXED	FIXED_NOSTRING	investice do vodohospodářské infrastruktury		
