VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
80	100	2024012	1000016424	845451	45317054	Komerční banka, a.s.	Ú	nákup nemovitosti	CZK	2,03	20210624	20360331	10	30000000	30000000	6000000	1664707.19	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45317054	Komerční banka, a.s.	Ú	oprava a modernizace BF	CZK	1,13	20200924	20391231	10	100000000	100000000	19200000	2397215.9	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45317054	Komerční banka, a.s.	Ú	oprava a modernizace BF	CZK	3,899	20240926	20231231	3	70000000	1000000	1000000	1654.28	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45317054	Komerční banka, a.s.	Ú	oprava a modernizace BF a investiční akce	CZK	0,95	20201215	20401214	10	200000000	200000000	29333280	5628105.45	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	45317054	Komerční banka, a.s.	Ú	oprava a modernizace bytového fondu	CZK	1,28	20210128	20351231	10	150000000	149992562.4	18000000	4271733.36	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	1350	Československá obchodní banka, a. s.	Ú	investiční akce	CZK	0,7	20201215	20351130	10	50000000	50000000	11500000	1170521.53	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	64948242	UniCredit Bank Czech Republic and Slovakia, a.s.	Ú	předfinancování dotačních projektů	CZK	5,14	20210128	20260130	10	30000000	3570000	0	1163413.22	UniCredit Bank Czech Republic and Slovakia, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016424	845451	4C	Evropská investiční banka	Ú	investiční akce	CZK	3,049	20081209	20271215	10	3000000000	3000000000	2730000000	503431945.2	HTTP Error 400		N/A	N/A	N/A
80	100	2024012	1000016425	70890692	45244782	Česká spořitelna, a.s.	Ú	Investiční úvěr	CZK	6M PRIBOR -0,09	20201221	20351231	1	3000000000	3000000000	0	192760229.8	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016425	70890692	64948242	UniCredit Bank Czech Republic and Slovakia, a.s.	Ú	Předfinancování a spolufinancování projektů z EU v rámci programového období 2019-2024	CZK	1M PRIBOR +0,01	20190107	20241231	1	1000000000	465340616.8	465340616.8	96173936.24	UniCredit Bank Czech Republic and Slovakia, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016425	70890692	64948242	UniCredit Bank Czech Republic and Slovakia, a.s.	Ú	Předfinancování a spolufinancování projektů z EU v rámci programového období 2024-2029	CZK	1M PRIBOR -0,14	20231218	20301231	1	1500000000	70238700.66	0	1325388.82	UniCredit Bank Czech Republic and Slovakia, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000016425	70890692	64948242	UniCredit Bank Czech Republic and Slovakia, a.s.	Ú	Refinancování části úvěru EIB	CZK	3M PRIBOR -0,04	20190619	20251231	1	1009700000	1009700000	841400000	101904312.5	UniCredit Bank Czech Republic and Slovakia, a.s.	121	Akciová společnost	Akciová společnost	a.s.
