VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
80	100	2023012	1000009273	273970	45244782	Česká spořitelna, a.s.	Ú	Výměna světel veř.osvětlení	CZK	2%	20140304	20281231	1	308000	308000	205320	67100.7	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009274	273988	45317054	Komerční banka, a.s.	Ú	Stavební úpravy - Moravanský dům	CZK	1,2	20170713	20361225	1	25000000	24495072.2	6960000	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009274	273988	45317054	Komerční banka, a.s.	Ú	Výstavba nové ČOV a odtoku z ČOV	CZK	0,01	20160929	20271231	1	13000000	12999001	7800000	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009275	274011	45317054	Komerční banka, a.s.	Ú	Základní škola - výstavba pavilonu	CZK	1M PRIBOR + 0,25% p.a.	20201221	20301130	1	17000000	17000000	5043500	1229877.19	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009275	274011	45317054	Komerční banka, a.s.	Ú	revolvingový - profinancování vybraných investičních projektů 2021-2023	CZK	1M PRIBOR + 0,25% p.a.	20210104	20401231	1	50000000	46068702.26	11650436.93	1069475.2	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009275	274011	45317054	Komerční banka, a.s.	Ú	zateplení bytovek	CZK	1M PRIBOR + 0,25% p.a.	20190926	20290831	1	15000000	14816182.77	5193000	1246879.43	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009277	274038	45244782	Česká spořitelna, a.s.	Ú	výstavba kanalizace	CZK	3,64	20220407	20251231	2	10000000	2000000	0	21840.01	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009279	274127	1350	Československá obchodní banka, a. s.	Ú	úvěr na opravu kanalizace a vodovodu	CZK	5,14	20220502	20321022	1	1000000	1000000	86178.65	89688.4	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009281	274151	1350	Československá obchodní banka, a. s.	Ú	částečné financování investiční akce "Stavební úpravy jídelny a přístavba kuchyně ZŠ Roh. Bělá"	CZK	1,25	20200930	20290326	1	3000000	3000000	997612.17	89174.56	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009282	274160	45244782	Česká spořitelna, a.s.	Ú	Novostavba dvougaráže s šatnou pro obecního zaměstnance	CZK	2,71	20190813	20230531	1	2200000	2134438.79	2134438.79	124800.65	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009283	274178	45317054	Komerční banka, a.s.	Ú	Pořízení nemovitosti Rokytno čp. 12	CZK	3,71	20220107	20311125	1	7000000	7000000	1320000	458599.28	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009290	274305	45244782	Česká spořitelna, a.s.	Ú	Novostavba kulturního a společenského centra obce Staré Hradiště	CZK	1,78 %	20190902	20250531	1	30000000	30000000	21500000	1235171.13	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009293	274330	45317054	Komerční banka, a.s.	Ú	nákup pozemku	CZK	4,69	20220518	20340325	1	13500000	13500000	1723500	951430.63	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009293	274330	45317054	Komerční banka, a.s.	Ú	rekonstrukce obecního domu	CZK	0,95	20170629	20290425	1	12000000	12000000	5690058.36	964827.04	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009302	274526	45244782	Česká spořitelna, a.s.	Ú	koupě areálu tržnice	CZK	2,24	20210608	20310930	1	5000000	5000000	1125900	249146.72	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009303	274534	1350	Československá obchodní banka, a. s.	Ú	Rekonstrukce nemovitosti (Obecní úřad)	CZK	2,18	20200408	20230520	1	3000000	3000000	837989.69	164008.76	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009306	274593	45244782	Česká spořitelna, a.s.	Ú	výstavba splašk.kanalizace a ČOV Voleč	CZK	2,13	20190521	20401231	1	29000000	28777993.12	8826000	449223.37	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009312	580473	1350	Československá obchodní banka, a. s.	Ú	kanalizace a ČOV	CZK	2,36	20200423	20400423	2	5000000	5000000	458700	218674.03	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009314	580503	45317054	Komerční banka, a.s.	Ú	MŠ Choteč - podíl 1/4 (nemovitost + poz.)	CZK	1M PRIBOR + 0,99% p.a.	20140801	20240625	1	1000000	1000000	949760	137116.77	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009314	580503	63998980	ČSOB Leasing, a.s.	Ú	KUBOTA M40 Traktor Kubota M4073	CZK	1,9900% p.a.	20220620	20270624	4	925686	925686	268108.53	55295.58	ČSOB Leasing, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009318	580546	45244782	Česká spořitelna, a.s.	Ú	Decentralizace čištění odpadních vod	CZK	2,37	18991230	20401231	2	3500000	3435673.01	140400	171991.99	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009318	580546	45244782	Česká spořitelna, a.s.	Ú	Výstavba chodníků	CZK	1,49	20150401	20270331	2	500000	500000	367500	52739.99	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009318	580546	45244782	Česká spořitelna, a.s.	Ú	rekonstrukce VO	CZK	1,94	20131220	20251231	2	400000	395129	327600	59327.79	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009319	580554	45317054	Komerční banka, a.s.	Ú	výstavba dešťové kanalizace	CZK	6,45	20170711	20320331	1	2346674	2346674	990576	211810.85	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009319	580554	45317054	Komerční banka, a.s.	Ú	výstavba splaškové kanalizace	CZK	6,45	20170711	20320531	1	3097000	3097000	1288944	281385.25	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009321	580571	45244782	Česká spořitelna, a.s.	Ú	kanalizace	CZK	1,3	20160210	20271231	1	7500000	7500000	4642872	510029	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009323	580601	20729	Státní fond životního prostředí České republiky	Z	nákup elektromobilu	CZK	0	20210420	20261231	1	463596	463596	185438.4	0	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2023012	1000009323	580601	20729	Státní fond životního prostředí České republiky	Z	výstavba kanalizace	CZK	1	20130906	20251231	10	2015935.3	2015935.3	1651184	100126.99	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2023012	1000009324	580619	45317054	Komerční banka, a.s.	Ú	Rekonstrukce MK	CZK	0,77	20170830	20230731	1	4000000	3942736	3942736	86219.42	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009327	580678	45317054	Komerční banka, a.s.	Ú	oprava kanalizace	CZK	2,17	20190226	20390125	1	1300000	1300000	272640	104202.88	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009327	580678	45317054	Komerční banka, a.s.	Ú	oprava komunikace	CZK	3	20090518	20240425	1	1000000	1000000	977760	407944.3	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009327	580678	45317054	Komerční banka, a.s.	Ú	výstavba chodníků	CZK	7,30	20230602	20250725	1	150000	150000	36000	5751.59	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009331	70892822	4C	Evropská investiční banka	Ú	Infrastruktura Pardubického kraje IV.	CZK	3M PRIBOR -0,138%, -0,136%, -0,309%	20200914	20301231	1	2000000000	2000000000	475000000	183618898.8	HTTP Error 400		N/A	N/A	N/A
80	100	2023012	1000009331	70892822	4C	Evropská investiční banka	Ú	Modernizace silnic II. a III. třídy na území Pardubického kraje	CZK	3M PRIBOR +0,13%	20050630	20230315	1	859010000	859010000	859010000	112246023.1	HTTP Error 400		N/A	N/A	N/A
80	100	2023012	1000009420	274046	45317054	Komerční banka, a.s.	Ú	financování a refundace investičních projektů	CZK	3M PRIBOR + 0,10 % p.a.	20170511	20401231	1	1086000000	1000000000	105264000	149953844.2	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009423	580589	45317054	Komerční banka, a.s.	Ú	Kanalizace Němčice	CZK	1,5	20200930	20370825	1	20000000	17445941.48	2526480	406424.03	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009431	273350	45244782	Česká spořitelna, a.s.	Ú	Tělocvična v Lázních Bohdaneč	CZK	1,68	20180925	20281231	1	30000000	30000000	13440000	1639295.4	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009457	274739	45244782	Česká spořitelna, a.s.	Ú	investiční akce	CZK	1,80	20191220	20251231	2	4000000	4000000	2412000	154789.52	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009461	275191	45244782	Česká spořitelna, a.s.	Ú	byty, ČOV, zateplení škol, nákup budovy MÚ	CZK	1,5	20141009	20260831	1	27739000	27148593.1	21645000	2308063	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009461	275191	45244782	Česká spořitelna, a.s.	Ú	nákup bytových domů	CZK	5,83	20230627	20430228	1	36500000	36500000	624000	938	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009461	275191	45244782	Česká spořitelna, a.s.	Ú	rekonstrukce koupaliště	CZK	1,88	20190102	20351130	1	25000000	25000000	5248636	1692361.38	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009465	275468	45317054	Komerční banka, a.s.	Ú	úprava křižovatky Mostecká, investice	CZK	1,77	20190327	20241231	1	15000000	15000000	12000000	659984.11	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009466	275301	45244782	Česká spořitelna, a.s.	Ú	Projekty realizované v roce 2020 a 2021	CZK	1,36	20200528	20261231	1	6000000	4823309.87	2400000	103779.26	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009469	274968	60914076	AQUA SERVIS, a.s.	Ú	Investice do vodohospodářské infrastruktury.	CZK	0	20210920	20300930	1	15000000	15000000	1875000	0	AQUA SERVIS, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000009472	274691	45244782	Česká spořitelna, a.s.	Ú	Financování projektu	CZK	6,32	20220627	20270831	10	3168000	3000000	2227500	30000	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
